"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"247","Normal/Others","WS/MP18226/2024-2025/169156-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near Haji Masjid intersection in Gram Panchayat Padaria.","27-Jan-2025","166050","12-Mar-2025"
"248","Normal/Others","WS/MP18226/2024-2025/169157-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Jhala of Majra Liloti Ma. Trilok Singh ji of Gram Panchayat Pipra Marora.","27-Jan-2025","166050","12-Mar-2025"
"249","Normal/Others","WS/MP18226/2024-2025/169158-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjit  intersection in Gram Panchayat Sunderwal.","27-Jan-2025","166050","12-Mar-2025"
"250","Normal/Others","WS/MP18226/2024-2025/169159-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way at the intersection near Phool Singh house in Gram Panchayat Belhan.","27-Jan-2025","166050","12-Mar-2025"
"251","Normal/Others","WS/MP18226/2024-2025/169160-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way at the intersection near Ranveer Yadav house in Majra Chhoti Khabhi of Gram Panchayat Srinagar.","27-Jan-2025","166050","12-Mar-2025"
"252","Normal/Others","WS/MP18226/2024-2025/169161-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gram Tendua Masjid intersection of Gram Panchayat Tendua.","27-Jan-2025","166050","12-Mar-2025"
"253","Normal/Others","WS/MP18226/2024-2025/169162-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Manglipurwa of Gram Panchayat Pipragum.","27-Jan-2025","166050","12-Mar-2025"
"254","Normal/Others","WS/MP18226/2024-2025/169220-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in village Ramanagara of Gram Panchayat Maksoha.","27-Jan-2025","166050","12-Mar-2025"
"255","Normal/Others","WS/MP18226/2024-2025/169222-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Tihulia Gunrudwara intersection of Gram Panchayat Delelnagar.","27-Jan-2025","166050","12-Mar-2025"
"256","Normal/Others","WS/MP18226/2024-2025/169224-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Atkohana Salarpur Gurudwara intersection of Gram Panchayat Sisaura.","27-Jan-2025","166050","12-Mar-2025"
"257","Normal/Others","WS/MP18226/2024-2025/169225-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection of Ranjitpurwa of Gram Panchayat Baraula.","27-Jan-2025","166050","12-Mar-2025"
"258","Normal/Others","WS/MP18226/2024-2025/169226-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Hargovind Dham Gurudwara intersection of Gram Panchayat Maheva.","27-Jan-2025","166050","12-Mar-2025"
"259","Normal/Others","WS/MP18226/2024-2025/169227-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara Singh Sabha intersection in Gram Panchayat Sisauna.","27-Jan-2025","166050","17-Mar-2025"
"260","Normal/Others","WS/MP18226/2024-2025/169228-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Sada intersection of Gram Panchayat Anjanapur.","27-Jan-2025","166050","12-Mar-2025"
"261","Normal/Others","WS/MP18226/2024-2025/169229-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Nanakpurwa intersection of Gram Panchayat Maheva.","27-Jan-2025","166050","12-Mar-2025"
"262","Normal/Others","WS/MP18226/2024-2025/169242-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Kuwarnapur intersection of Gram Panchayat Maheva.","27-Jan-2025","166050","12-Mar-2025"
"263","Normal/Others","WS/MP18226/2024-2025/169243-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gardaha Masjid intersection in village Gardaha.","27-Jan-2025","166033","12-Mar-2025"
"264","Normal/Others","WS/MP18226/2024-2025/169244-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Rasoolpur Masjid intersection in village Rasoolpur.","27-Jan-2025","166033","12-Mar-2025"
"265","Normal/Others","WS/MP18226/2024-2025/169245-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Chhaturi Masjid intersection in village Chhaturi.","27-Jan-2025","166033","12-Mar-2025"
"266","Normal/Others","WS/MP18226/2024-2025/169246-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Amirnagar Bazaar wali Masjid intersection in village Amirnagar.","27-Jan-2025","166033","12-Mar-2025"
"267","Normal/Others","WS/MP18226/2024-2025/169247-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Deoria Masjid intersection in village Deoria.","27-Jan-2025","166033","12-Mar-2025"
"268","Normal/Others","WS/MP18226/2024-2025/169248-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mathana Masjid intersection in village Mathana.","27-Jan-2025","166033","12-Mar-2025"
"269","Normal/Others","WS/MP18226/2024-2025/169249-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Takiya Gaurav Raj house in village Takiya.","27-Jan-2025","166033","12-Mar-2025"
"270","Normal/Others","WS/MP18226/2024-2025/169250-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mamri Bazar intersection in village Mamri.","27-Jan-2025","166033","12-Mar-2025"
"271","Normal/Others","WS/MP18226/2024-2025/169251-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Awadhesh Verma Medical intersection in village Ajan.","27-Jan-2025","166033","12-Mar-2025"
"272","Normal/Others","WS/MP18226/2024-2025/169275-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Dhiravan Nuruddin Ansari Masjid intersection in village Dhiravan.","27-Jan-2025","166033","12-Mar-2025"
"273","Normal/Others","WS/MP18226/2024-2025/169276-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Dhiravan.","27-Jan-2025","166033","12-Mar-2025"
"274","Normal/Others","WS/MP18226/2024-2025/169277-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Nayagaon.","27-Jan-2025","166033","12-Mar-2025"
"275","Normal/Others","WS/MP18226/2024-2025/169278-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Ganeshpur Masjid intersection in village Ganeshpur.","27-Jan-2025","166033","12-Mar-2025"
"276","Normal/Others","WS/MP18226/2024-2025/169279-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near hospital intersection of Gendan Lal Verma in village Belhari.","27-Jan-2025","166033","12-Mar-2025"
"277","Normal/Others","WS/MP18226/2024-2025/169280-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Rehman Ali house intersection in village Secanderabad.","27-Jan-2025","166033","12-Mar-2025"
"278","Normal/Others","WS/MP18226/2024-2025/169281-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Harinagar.","27-Jan-2025","166033","12-Mar-2025"
"279","Normal/Others","WS/MP18226/2024-2025/169282-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Lakhaha Gurudwara intersection in village Lakhaha.","27-Jan-2025","166033","12-Mar-2025"
"280","Normal/Others","WS/MP18226/2024-2025/169283-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near Gurudwara intersection in village Subhashnagar.","27-Jan-2025","166033","12-Mar-2025"
"281","Normal/Others","WS/MP18226/2024-2025/169284-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Hazratpur.","27-Jan-2025","166033","12-Mar-2025"
"282","Normal/Others","WS/MP18226/2024-2025/169312-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Veerpur.","27-Jan-2025","166033","12-Mar-2025"
"283","Normal/Others","WS/MP18226/2024-2025/169313-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near the intersection of Mukesh Verma house in village Nangapur.","27-Jan-2025","166033","12-Mar-2025"
"284","Normal/Others","WS/MP18226/2024-2025/169314-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near the intersection of Brijendra Patel house in village Pareli.","27-Jan-2025","166033","12-Mar-2025"
"285","Normal/Others","WS/MP18226/2024-2025/169315-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Ahidanav Baba house intersection in village Khargapur.","27-Jan-2025","166033","12-Mar-2025"
"286","Normal/Others","WS/MP18226/2024-2025/169316-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near Jalalpur main intersection in village Jalalpur.","27-Jan-2025","166050","12-Mar-2025"
"287","Normal/Others","WS/MP18226/2024-2025/169317-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Arvind Verma house in village Maharajnagar.","27-Jan-2025","166050","12-Mar-2025"
"288","Normal/Others","WS/MP18226/2024-2025/169318-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near the intersection in village Bhundwara.","27-Jan-2025","166050","12-Mar-2025"
"289","Normal/Others","WS/MP18226/2024-2025/169319-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mata Ji Ka Mandir intersection in village Wazirnagar.","27-Jan-2025","166050","12-Mar-2025"
"290","Normal/Others","WS/MP18226/2024-2025/169320-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near Lalganj Masjid intersection in village Lalganj.","27-Jan-2025","166050","12-Mar-2025"
"291","Normal/Others","WS/MP18226/2024-2025/169321-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near Aliganj Zaheer Khan shop intersection in village Aliganj.","27-Jan-2025","166050","12-Mar-2025"
"292","Normal/Others","WS/MP18226/2024-2025/169330-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Pastor Gurudwara intersection in village Pastor.","27-Jan-2025","166050","12-Mar-2025"
"293","Normal/Others","WS/MP18226/2024-2025/169331-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shankarji temple in Majra Maharajnagar of Gram Panchayat Wazirnagar","27-Jan-2025","166050","12-Mar-2025"
"294","Normal/Others","WS/MP18226/2024-2025/169332-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Billinganj Chhotu Mahavat intersection in village Billinganj.","27-Jan-2025","166050","12-Mar-2025"
"295","Normal/Others","WS/MP18226/2024-2025/169333-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the house intersection of Maharaj Nagar Man Singh in Village Maharaj Nagar.","27-Jan-2025","166050","12-Mar-2025"
"296","Normal/Others","WS/MP18226/2024-2025/169334-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way  near the intersection of Koiliha Baba Saheb in village Koilhiya.","27-Jan-2025","166050","12-Mar-2025"
"297","Normal/Others","WS/MP18226/2024-2025/169335-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the house intersection of Babesar Santram Bhurji in village Babesar.","27-Jan-2025","166050","12-Mar-2025"
"298","Normal/Others","WS/MP18226/2024-2025/169336-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the house intersection of Bachchu Khan in village Laguchi.","27-Jan-2025","166050","12-Mar-2025"
"299","Normal/Others","WS/MP18226/2024-2025/169337-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid  intersection in village Ibrahimpur.","27-Jan-2025","166050","12-Mar-2025"
"300","Normal/Others","WS/MP18226/2024-2025/169338-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Muda Savaran.","27-Jan-2025","166050","12-Mar-2025"
"301","Normal/Others","WS/MP18226/2024-2025/169339-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Padriyatula.","27-Jan-2025","166050","12-Mar-2025"
"302","Normal/Others","WS/MP18226/2024-2025/169343-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Neeraj Verma shop intersection in village Rasoolpanah.","27-Jan-2025","166050","12-Mar-2025"
"303","Normal/Others","WS/MP18226/2024-2025/169344-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara of Gram Panchayat Malpur","27-Jan-2025","166050","12-Mar-2025"
"304","Normal/Others","WS/MP18226/2024-2025/169345-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Ambara.","27-Jan-2025","166050","12-Mar-2025"
"305","Normal/Others","WS/MP18226/2024-2025/169346-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Akalgarh.","27-Jan-2025","166050","12-Mar-2025"
"306","Normal/Others","WS/MP18226/2024-2025/169348-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Daudpur.","27-Jan-2025","166050","12-Mar-2025"
"307","Normal/Others","WS/MP18226/2024-2025/169349-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Johaura.","27-Jan-2025","166050","12-Mar-2025"
"308","Normal/Others","WS/MP18226/2024-2025/169350-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Basant Kashyap house intersection in village Ramnagar.","27-Jan-2025","166050","12-Mar-2025"
"309","Normal/Others","WS/MP18226/2024-2025/169351-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the house intersection of Sukhwinder Singh son of Gulzar Singh in village Daudpur.","27-Jan-2025","166050","12-Mar-2025"
"310","Normal/Others","WS/MP18226/2024-2025/169352-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the newly constructed Gurudwara intersection in village Jahanpur.","27-Jan-2025","166050","12-Mar-2025"
"311","Normal/Others","WS/MP18226/2024-2025/169353-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Baslipur.","27-Jan-2025","166050","12-Mar-2025"
"312","Normal/Others","WS/MP18226/2024-2025/169356-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Subhanipurwa of Gram Panchayat Dhakherwa Nankar.","27-Jan-2025","166050","12-Mar-2025"
"313","Normal/Others","WS/MP18226/2024-2025/169357-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection at Pasian Purva in Gram Panchayat Dhakherwa Nankar.","27-Jan-2025","166050","12-Mar-2025"
"314","Normal/Others","WS/MP18226/2024-2025/169358-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mote Baba Mandir intersection in Gram Panchayat Majhra purab","27-Jan-2025","166050","12-Mar-2025"
"315","Normal/Others","WS/MP18226/2024-2025/169359-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Gram Panchayat Teliar.","27-Jan-2025","166050","12-Mar-2025"
"316","Normal/Others","WS/MP18226/2024-2025/169360-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Malagar Farm Gurudwara intersection in Gram Panchayat Khairtiya.","27-Jan-2025","166050","12-Mar-2025"
"317","Normal/Others","WS/MP18226/2024-2025/169361-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shankar ji temple intersection in Gram Panchayat Bairiya.","27-Jan-2025","166050","12-Mar-2025"
"318","Normal/Others","WS/MP18226/2024-2025/169362-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Bokariya of Gram Panchayat Teliar.","27-Jan-2025","166050","12-Mar-2025"
"319","Normal/Others","WS/MP18226/2024-2025/169363-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Barkati Masjid intersection in Gram Panchayat Sujanpur.","27-Jan-2025","166050","12-Mar-2025"
"320","Normal/Others","WS/MP18226/2024-2025/169364-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in Gram Panchayat Chhedipurwa.","27-Jan-2025","166050","12-Mar-2025"
"321","Normal/Others","WS/MP18226/2024-2025/169367-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Maa Raj Rajeshwari Devi Temple intersection in Gram Panchayat Semri.","27-Jan-2025","166050","12-Mar-2025"
"322","Normal/Others","WS/MP18226/2024-2025/169368-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Noori Masjid intersection in Gram Panchayat Danduri.","27-Jan-2025","166050","12-Mar-2025"
"323","Normal/Others","WS/MP18226/2024-2025/169369-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection in Majra Bhagharpurva of Gram Panchayat Chandpura.","27-Jan-2025","166050","12-Mar-2025"
"324","Normal/Others","WS/MP18226/2024-2025/169370-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Gram Panchayat Kharwahiya No. 2.","27-Jan-2025","166050","12-Mar-2025"
"325","Normal/Others","WS/MP18226/2024-2025/169371-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Banaras Kashyap house intersection in Gram Panchayat Sinsaiya.","27-Jan-2025","166050","12-Mar-2025"
"326","Normal/Others","WS/MP18226/2024-2025/169372-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid  intersection in village Mahadev of Gram Panchayat Sohariya.","27-Jan-2025","166050","12-Mar-2025"
"327","Normal/Others","WS/MP18226/2024-2025/169373-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a high semi mast light 6 way near village Bangli Colony intersection of village Panchayat Tahara.","27-Jan-2025","166050","12-Mar-2025"
"328","Normal/Others","WS/MP18226/2024-2025/169374-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Mallabehad village Panchayat Mallabehad.","27-Jan-2025","166050","12-Mar-2025"
"329","Normal/Others","WS/MP18226/2024-2025/169375-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Podkhiya Bala Ji Mandir intersection of Gram Panchayat Gauria.","27-Jan-2025","166050","12-Mar-2025"
"330","Normal/Others","WS/MP18226/2024-2025/169376-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Okeshar Nath temple intersection in village Ballipur.","27-Jan-2025","166033","12-Mar-2025"
"331","Normal/Others","WS/MP18226/2024-2025/169838-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Gangabehad.","29-Jan-2025","166033","12-Mar-2025"
